ca	tsʰɑ	ㄘㄚ
ce	tsʰɯ̯ʌ	ㄘㄜ
ci	tsʰɿ	ㄘ
cu	tsʰu	ㄘㄨ
cai	tsʰaɪ̯	ㄘㄞ
can	tsʰan	ㄘㄢ
cao	tsʰɑʊ̯	ㄘㄠ
cei	tsʰeɪ̯	ㄘㄟ
cen	tsʰən	ㄘㄣ
cha	tʂʰɑ	ㄔㄚ
che	tʂʰɯ̯ʌ	ㄔㄜ
chi	tʂʰʅ	ㄔ
chu	tʂʰu	ㄔㄨ
cou	tsʰɤʊ̯	ㄘㄡ
cui	tsʰu̯eɪ̯	ㄘㄨㄟ
cun	tsʰu̯ən	ㄘㄨㄣ
cuo	tsʰu̯ɔ	ㄘㄨㄛ
cang	tsʰɑŋ	ㄘㄤ
ceng	tsʰəŋ	ㄘㄥ
chai	tʂʰaɪ̯	ㄔㄞ
chan	tʂʰan	ㄔㄢ
chao	tʂʰɑʊ̯	ㄔㄠ
chen	tʂʰən	ㄔㄣ
chou	tʂʰɤʊ̯	ㄔㄡ
chua	tʂʰu̯ɑ	ㄔㄨㄚ
chui	tʂʰu̯eɪ̯	ㄔㄨㄟ
chun	tʂʰu̯ən	ㄔㄨㄣ
chuo	tʂʰu̯ɔ	ㄔㄨㄛ
cong	tsʰʊŋ	ㄘㄨㄥ
cuan	tsʰu̯an	ㄘㄨㄢ
chang	tʂʰɑŋ	ㄔㄤ
cheng	tʂʰəŋ	ㄔㄥ
chong	tʂʰʊŋ	ㄔㄨㄥ
chuai	tʂʰu̯aɪ̯	ㄔㄨㄞ
chuan	tʂʰu̯an	ㄔㄨㄢ
chuang	tʂʰu̯ɑŋ	ㄔㄨㄤ
