za	tsɑ	ㄗㄚ
ze	tsɯ̯ʌ	ㄗㄜ
zi	tsɿ	ㄗ
zu	tsu	ㄗㄨ
zai	tsaɪ̯	ㄗㄞ
zan	tsan	ㄗㄢ
zao	tsɑʊ̯	ㄗㄠ
zei	tseɪ̯	ㄗㄟ
zen	tsən	ㄗㄣ
zha	tʂɑ	ㄓㄚ
zhe	tʂɯ̯ʌ	ㄓㄜ
zhi	tʂʅ	ㄓ
zhu	tʂu	ㄓㄨ
zou	tsɤʊ̯	ㄗㄡ
zui	tsu̯eɪ̯	ㄗㄨㄟ
zun	tsu̯ən	ㄗㄨㄣ
zuo	tsu̯ɔ	ㄗㄨㄛ
zang	tsɑŋ	ㄗㄤ
zeng	tsəŋ	ㄗㄥ
zhai	tʂaɪ̯	ㄓㄞ
zhan	tʂan	ㄓㄢ
zhao	tʂɑʊ̯	ㄓㄠ
zhei	tʂeɪ̯	ㄓㄟ
zhen	tʂən	ㄓㄣ
zhou	tʂɤʊ̯	ㄓㄡ
zhua	tʂu̯ɑ	ㄓㄨㄚ
zhui	tʂu̯eɪ̯	ㄓㄨㄟ
zhun	tʂu̯ən	ㄓㄨㄣ
zhuo	tʂu̯ɔ	ㄓㄨㄛ
zong	tsʊŋ	ㄗㄨㄥ
zuan	tsu̯an	ㄗㄨㄢ
zhang	tʂɑŋ	ㄓㄤ
zheng	tʂəŋ	ㄓㄥ
zhong	tʂʊŋ	ㄓㄨㄥ
zhuai	tʂu̯aɪ̯	ㄓㄨㄞ
zhuan	tʂu̯an	ㄓㄨㄢ
zhuang	tʂ̯u̯ɑŋ	ㄓㄨㄤ
